trade_date,open,high,low,close,volume,amount,average_price
20200210,4.69,4.97,4.62,4.97,208735.95,101387.21,4.857
20200211,5.08,5.22,5.04,5.09,266018.03,136784.253,5.142
20200212,5.02,5.16,5.02,5.1,136235.13,69364.724,5.092
20200213,5.07,5.1,4.98,4.98,142167.24,71322.098,5.017
20200214,4.95,5.07,4.91,5.0,94237.0,47023.946,4.99
20200217,5.05,5.22,5.01,5.14,134550.84,68881.752,5.119
20200218,5.17,5.34,5.13,5.26,144447.91,75464.653,5.224
20200219,5.26,5.35,5.16,5.19,137938.02,72442.313,5.252
20200220,5.21,5.32,5.15,5.28,132890.08,69774.819,5.251
20200221,5.33,5.39,5.24,5.32,151372.02,80073.089,5.29
20200224,5.31,5.36,5.25,5.31,142375.0,75571.654,5.308
20200225,5.17,5.27,5.04,5.2,244034.52,125443.541,5.14
20200226,5.12,5.46,5.11,5.46,316102.53,170538.481,5.395
20200227,5.5,5.73,5.43,5.73,305152.79,172233.774,5.644
20200228,5.7,5.83,5.51,5.61,296986.76,168043.699,5.658
20200302,5.67,5.78,5.61,5.71,165165.03,94306.173,5.71
20200303,5.85,5.96,5.74,5.95,202585.34,118571.239,5.853
20200304,5.91,6.15,5.86,6.07,225564.64,135268.706,5.997
20200305,6.06,6.06,5.77,5.77,319283.06,186786.709,5.85
20200306,5.6,5.68,5.48,5.48,314716.96,173516.338,5.513
20200309,5.41,5.45,5.21,5.21,170019.0,89029.876,5.236
20200310,4.97,5.37,4.95,5.28,269782.64,137852.467,5.11
20200311,5.3,5.49,5.23,5.25,188672.57,101714.119,5.391
20200312,5.1,5.2,5.0,5.12,203431.38,103439.593,5.085
20200313,4.86,5.18,4.86,5.17,210733.65,106006.901,5.03
20200316,5.19,5.33,5.06,5.12,198607.84,103686.988,5.221
20200317,4.86,4.99,4.86,4.86,119313.0,58055.921,4.866
20200318,4.8,4.88,4.62,4.62,267047.24,125144.558,4.686
20200319,4.48,4.52,4.39,4.39,192305.98,84885.988,4.414
20200320,4.44,4.6,4.44,4.55,152269.83,69135.449,4.54
20200323,4.36,4.39,4.32,4.32,101983.0,44126.684,4.327
20200324,4.32,4.36,4.1,4.18,210808.64,87733.364,4.162
20200325,4.21,4.27,4.16,4.23,129001.36,54457.589,4.221
20200326,4.18,4.18,4.03,4.08,127835.36,52209.076,4.084
20200327,4.1,4.28,4.09,4.28,102787.36,43232.736,4.206
20200330,4.26,4.49,4.21,4.45,213435.32,94264.791,4.417
20200331,4.23,4.33,4.23,4.23,128405.0,54402.273,4.237
20200401,4.13,4.18,4.02,4.02,203101.0,82558.388,4.065
20200402,3.91,4.0,3.82,4.0,239401.04,92329.181,3.857
20200403,3.94,4.09,3.93,3.97,125215.05,50240.228,4.012
20200407,4.03,4.03,3.94,3.96,130408.54,51922.811,3.982
20200408,3.92,4.09,3.77,4.03,191867.84,75456.702,3.933
20200409,3.95,4.2,3.95,4.13,155253.1,63335.558,4.08
20200410,4.16,4.17,4.02,4.07,94263.01,38451.11,4.079
20200413,4.08,4.14,4.02,4.07,77465.01,31638.436,4.084
20200414,4.11,4.13,4.06,4.1,55353.0,22645.525,4.091
20200415,4.06,4.11,3.98,4.01,96854.0,39123.792,4.039
20200416,4.03,4.13,4.03,4.06,71217.0,29028.461,4.076
20200417,4.07,4.07,3.98,4.0,91216.0,36760.534,4.03
20200420,3.99,3.99,3.88,3.9,107091.24,41875.186,3.91
20200421,3.85,3.86,3.71,3.71,154103.0,58035.389,3.766
20200422,3.7,3.84,3.65,3.78,80274.22,30258.574,3.769
20200423,3.8,3.84,3.72,3.75,67784.07,25546.691,3.769
20200424,3.75,3.78,3.68,3.7,72057.01,26890.294,3.732
20200427,3.71,3.74,3.65,3.7,67379.1,24959.659,3.704
20200428,3.7,3.7,3.53,3.61,96141.1,34530.495,3.592
20200429,3.61,3.63,3.56,3.57,56345.0,20173.576,3.58
20200430,3.57,3.66,3.55,3.63,67648.39,24413.217,3.609
20200506,3.58,3.66,3.52,3.61,54820.39,19745.648,3.602
20200507,3.63,3.65,3.59,3.63,51931.21,18797.832,3.62
20200508,3.64,3.81,3.63,3.81,107339.11,40297.339,3.754
20200511,3.87,4.0,3.83,3.88,214322.3,84065.37,3.922
20200512,3.88,3.91,3.7,3.79,93705.01,35590.985,3.798
20200513,3.78,3.94,3.74,3.88,84223.02,32472.16,3.855
20200514,3.89,3.9,3.76,3.78,61032.13,23181.718,3.798
20200515,3.76,3.79,3.68,3.71,62235.14,23235.87,3.734
20200518,3.71,3.75,3.67,3.69,44453.78,16426.759,3.695
20200519,3.72,3.73,3.66,3.68,44033.0,16208.15,3.681
20200520,3.67,3.76,3.64,3.71,47239.42,17530.139,3.711
20200521,3.72,3.72,3.59,3.71,70211.41,25575.028,3.643
20200522,3.69,3.9,3.68,3.81,115489.63,44106.055,3.819
20200525,3.85,3.9,3.76,3.85,78492.01,29973.619,3.819
20200526,3.82,3.97,3.82,3.93,80181.04,31512.383,3.93
20200527,3.93,4.13,3.84,4.13,104118.0,41495.355,3.985
20200528,4.18,4.34,4.06,4.25,266560.34,113370.823,4.253
20200529,4.3,4.36,4.09,4.18,189704.07,79608.231,4.196
20200601,4.17,4.34,4.13,4.29,167468.07,71010.365,4.24
20200602,4.28,4.28,4.08,4.08,181582.0,75085.313,4.135
20200603,4.08,4.14,4.01,4.12,101394.48,41494.804,4.092
20200604,4.11,4.2,4.07,4.14,77401.5,32028.663,4.138
20200605,4.13,4.33,4.12,4.26,119413.07,50576.705,4.235
20200608,4.32,4.32,4.17,4.19,83604.0,35336.301,4.227
20200609,4.16,4.22,4.1,4.15,80658.0,33510.893,4.155
20200610,4.16,4.25,4.13,4.23,83287.0,34870.915,4.187
20200611,4.44,4.44,4.44,4.44,23632.14,10492.67,4.44
20200612,4.44,4.66,4.38,4.66,337225.13,154394.724,4.578
20200615,4.58,4.74,4.54,4.59,191970.92,88741.976,4.623
20200616,4.59,4.67,4.56,4.59,103224.0,47449.914,4.597
20200617,4.6,4.62,4.37,4.43,141818.49,63631.801,4.487
20200618,4.28,4.43,4.28,4.3,136816.02,59092.517,4.319
20200619,4.3,4.46,4.26,4.34,111740.05,48549.614,4.345
20200623,4.12,4.12,4.12,4.12,37623.0,15500.676,4.12
20200624,4.0,4.09,3.91,3.93,228892.7,91061.094,3.978
20200629,3.91,4.06,3.86,3.9,78569.22,31012.256,3.947
20200630,3.95,3.96,3.85,3.86,94483.38,36793.986,3.894
20200701,3.87,3.96,3.8,3.95,123205.34,47644.417,3.867
20200702,3.96,3.96,3.88,3.91,108685.02,42631.736,3.923
20200703,3.9,3.98,3.89,3.94,108629.63,42794.992,3.94
20200706,3.95,4.06,3.91,4.02,165348.04,65787.742,3.979
20200707,4.0,4.17,3.99,4.08,168961.52,68920.652,4.079
20200708,4.15,4.28,4.07,4.28,196499.39,81976.87,4.172
20200709,4.31,4.38,4.25,4.32,148567.02,64071.793,4.313
20200710,4.32,4.46,4.27,4.33,149987.46,65343.225,4.357
20200713,4.33,4.41,4.3,4.38,139137.26,60721.861,4.364
20200714,4.37,4.38,4.16,4.2,196172.21,82854.637,4.224
20200715,4.12,4.16,4.04,4.1,140338.2,57441.251,4.093
20200716,4.07,4.13,3.92,3.97,95947.99,38825.822,4.047
20200717,3.96,4.13,3.94,4.13,96524.8,39211.419,4.062
20200720,4.11,4.23,4.1,4.19,73781.45,30698.477,4.161
20200721,4.19,4.31,4.13,4.19,100681.03,42324.003,4.204
20200722,4.23,4.23,4.1,4.1,90618.06,37721.957,4.163
20200723,4.06,4.17,3.96,4.07,83057.14,33656.974,4.052
20200724,4.08,4.08,3.97,3.98,106941.0,42986.824,4.02
20200727,4.01,4.18,3.95,4.15,76268.02,30906.261,4.052
20200728,4.15,4.24,4.1,4.17,80980.0,33759.957,4.169
20200729,4.15,4.22,4.15,4.18,71856.0,30038.685,4.18
20200730,4.13,4.19,4.06,4.12,82418.01,33934.347,4.117
20200731,3.91,3.98,3.91,3.91,249822.77,97937.281,3.92
20200803,3.9,3.95,3.88,3.94,122326.03,47907.282,3.916
20200804,3.94,3.97,3.85,3.92,118933.05,46559.754,3.915
20200805,3.93,3.94,3.87,3.89,104036.0,40608.336,3.903
20200806,3.89,3.93,3.87,3.89,94541.0,36852.907,3.898
20200807,3.9,3.9,3.79,3.8,108873.1,41773.591,3.837
20200810,3.8,3.84,3.73,3.81,89740.81,33862.669,3.773
20200811,3.82,3.99,3.8,3.86,129418.85,50363.329,3.891
20200812,3.87,3.97,3.84,3.87,71720.13,27889.795,3.889
20200813,3.89,3.91,3.85,3.86,71720.0,27823.111,3.879
20200814,3.85,3.86,3.82,3.84,51309.02,19703.533,3.84
20200817,3.85,3.9,3.84,3.87,58735.57,22753.015,3.874
20200818,3.9,3.92,3.86,3.86,75734.02,29414.131,3.884
20200819,3.88,3.88,3.83,3.85,73610.55,28360.318,3.853
20200820,3.83,3.84,3.76,3.77,72319.03,27468.367,3.798
20200821,3.77,3.8,3.75,3.78,45929.04,17316.717,3.77
20200824,3.8,3.8,3.75,3.77,34880.0,13115.951,3.76
20200825,3.75,3.78,3.7,3.73,57029.0,21268.751,3.729
20200826,3.74,3.75,3.61,3.63,57414.2,21062.182,3.668
20200827,3.66,3.71,3.6,3.63,47634.53,17442.513,3.662
20200828,3.64,3.74,3.62,3.72,67546.5,24825.681,3.675
20200831,3.72,3.77,3.66,3.74,76949.55,28442.311,3.696
20200901,3.7,3.74,3.69,3.73,45780.02,17025.349,3.719
20200902,3.76,3.76,3.7,3.71,41106.66,15271.45,3.715
20200903,3.71,3.85,3.7,3.72,63596.01,23785.826,3.74
20200904,3.69,3.71,3.64,3.69,40633.0,14946.095,3.678
20200907,3.7,3.71,3.62,3.63,65507.0,23939.318,3.654
20200908,3.64,3.68,3.61,3.65,32439.0,11818.469,3.643
20200909,3.63,3.64,3.56,3.62,62132.33,22351.468,3.597
20200910,3.62,3.63,3.45,3.46,65258.01,23139.551,3.546
20200911,3.46,3.54,3.39,3.51,56744.8,19678.847,3.468
20200914,3.51,3.53,3.48,3.5,31538.69,11062.629,3.508
20200915,3.5,3.52,3.44,3.46,41008.0,14229.256,3.47
20200916,3.45,3.54,3.39,3.47,63473.1,21870.089,3.446
20200917,3.46,3.48,3.41,3.45,37357.0,12878.832,3.448
20200918,3.46,3.48,3.44,3.47,37021.0,12831.816,3.466
20200921,3.48,3.49,3.45,3.46,27563.24,9558.978,3.468
20200922,3.43,3.46,3.41,3.43,32762.55,11246.929,3.433
20200923,3.43,3.46,3.42,3.45,25916.45,8909.381,3.438
20200924,3.41,3.43,3.3,3.33,65726.0,22092.806,3.361
20200925,3.33,3.36,3.28,3.31,33407.24,11068.185,3.313
20200928,3.29,3.31,3.14,3.14,82138.02,26204.163,3.19
20200929,3.15,3.3,3.1,3.29,113929.04,36903.576,3.239
20200930,3.27,3.35,3.19,3.23,53283.02,17240.677,3.236
20201009,3.27,3.34,3.25,3.3,47481.01,15630.63,3.292
20201012,3.32,3.47,3.31,3.47,100138.02,34386.701,3.434
20201013,3.47,3.48,3.34,3.45,92897.03,31687.531,3.411
20201014,3.43,3.43,3.37,3.39,33477.0,11357.094,3.393
20201015,3.5,3.56,3.49,3.56,45478.73,16127.764,3.546
20201016,3.71,3.71,3.56,3.58,162646.0,59228.024,3.642
20201019,3.58,3.67,3.51,3.65,87631.01,31786.831,3.627
20201020,3.62,3.83,3.62,3.79,155974.01,59191.001,3.795
20201021,3.74,3.82,3.69,3.75,104618.01,39223.737,3.749
20201022,3.75,3.75,3.66,3.7,64030.0,23738.309,3.707
20201023,3.7,3.82,3.68,3.73,71834.55,26871.108,3.741
20201026,3.78,3.85,3.71,3.77,85881.27,32456.524,3.779
20201027,3.76,3.76,3.63,3.66,67775.04,25006.187,3.69
20201028,3.64,3.76,3.54,3.68,80080.81,29189.806,3.645
20201029,3.6,3.8,3.6,3.72,87592.27,32627.509,3.725
20201030,3.73,3.9,3.72,3.81,191198.49,73544.466,3.846
20201102,3.81,3.95,3.79,3.91,150991.77,58772.003,3.892
20201103,3.91,3.98,3.86,3.91,132632.0,52013.6,3.922
20201104,3.89,3.97,3.86,3.91,103045.66,40270.574,3.908
20201105,3.94,4.11,3.92,4.07,197331.88,79682.137,4.038
20201106,4.06,4.09,3.92,3.95,161795.92,64654.214,3.996
20201109,3.95,3.99,3.88,3.93,141164.88,55410.593,3.925
20201110,3.95,3.95,3.73,3.77,147893.0,56634.707,3.829
20201111,3.78,3.96,3.78,3.96,141783.41,55456.256,3.911
20201112,4.02,4.08,3.92,3.99,135058.7,54014.048,3.999
20201113,4.04,4.11,4.0,4.03,101516.0,41077.427,4.046
20201116,4.03,4.13,4.0,4.09,82453.94,33564.991,4.071
20201117,4.09,4.29,4.07,4.26,192728.62,81374.905,4.222
20201118,4.22,4.32,4.13,4.2,132857.34,55703.222,4.193
20201119,4.2,4.29,4.09,4.13,123995.02,51775.807,4.176
20201120,4.19,4.34,4.16,4.34,330815.81,142419.233,4.305
20201123,4.47,4.56,4.39,4.56,215666.6,97682.891,4.529
20201124,4.64,4.79,4.43,4.46,481123.36,223967.802,4.655
20201125,4.39,4.68,4.39,4.57,246404.27,112030.111,4.547
20201126,4.55,4.64,4.34,4.36,305401.28,134311.791,4.398
20201127,4.35,4.46,4.18,4.34,203838.71,88294.009,4.332
20201130,4.32,4.32,4.18,4.24,140040.01,59529.351,4.251
20201201,4.2,4.33,4.18,4.29,141856.61,60661.273,4.276
20201202,4.26,4.45,4.21,4.4,169591.34,74114.664,4.37
20201203,4.4,4.54,4.28,4.39,179989.5,79239.899,4.402
20201204,4.35,4.48,4.33,4.4,123902.24,54643.871,4.41
